company_top5,title,location,avg_experience,avg_base_salary
OTHERS,"SOFTWARE ENGINEERING MANAGER","Round Rock, TX",14.666666666666666,202333.33333333334
OTHERS,"PRODUCT MANAGER","Milpitas, CA",16,202000
MICROSOFT,"SOLUTION ARCHITECT","Salt Lake City, UT",21,202000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Wilmington, DE",16.5,201500
AMAZON,"SOFTWARE ENGINEER","Singapore, SG, Singapore",10,201000
OTHERS,"SOLUTION ARCHITECT","Bridgewater, NJ",29,200000
APPLE,"SOFTWARE ENGINEERING MANAGER","Austin, TX",15,200000
APPLE,"SOFTWARE ENGINEERING MANAGER","Shanghai, SH, China",17,200000
OTHERS,"DATA SCIENTIST","Annapolis Junction, MD",9,200000
OTHERS,"BUSINESS ANALYST","Chantilly, VA",31,200000
OTHERS,"DATA SCIENTIST","San Antonio, TX",14,200000
OTHERS,"SOFTWARE ENGINEERING MANAGER","McLean, NE",12,200000
OTHERS,"DATA SCIENTIST","Campbell, CA",15,200000
OTHERS,"PRODUCT MANAGER","Geneva, GE, Switzerland",12,200000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Reston, VA",17,200000
OTHERS,"SOLUTION ARCHITECT","South San Francisco, CA",20,200000
OTHERS,"PRODUCT MANAGER","Texas City, TX",10,200000
OTHERS,"TECHNICAL PROGRAM MANAGER","Palm Beach, FL",15,200000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Poland, IN",20,200000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","New Orleans, LA",10,200000
GOOGLE,"TECHNICAL PROGRAM MANAGER","Zurich, ZH, Switzerland",16,200000
GOOGLE,"SOFTWARE ENGINEERING MANAGER","Boston, MA",7,200000
OTHERS,"PRODUCT DESIGNER","Jacksonville, FL",25,200000
OTHERS,"DATA SCIENTIST","Raritan, NJ",19,200000
OTHERS,"MANAGEMENT CONSULTANT","Richmond, VA",22,200000
MICROSOFT,"TECHNICAL PROGRAM MANAGER","San Jose, CA",25,200000
MICROSOFT,"SOLUTION ARCHITECT","San Jose, CA",23,200000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Portland, OR",20,200000
ORACLE,"SOLUTION ARCHITECT","Ashburn, VA",15,200000
OTHERS,"SOFTWARE ENGINEERING MANAGER","San Mateo, CA",9,200000
OTHERS,"TECHNICAL PROGRAM MANAGER","Kirkland, WA",20,200000
OTHERS,"TECHNICAL PROGRAM MANAGER","Saint Petersburg, FL",20,200000
OTHERS,"HARDWARE ENGINEER","Rochester, NY",16,200000
OTHERS,"DATA SCIENTIST","Stamford, CT",15,200000
OTHERS,"DATA SCIENTIST","Malvern, PA",10,200000
MICROSOFT,"SOFTWARE ENGINEER","Lehi, UT",25,198000
APPLE,"SOFTWARE ENGINEERING MANAGER","Sunnyvale, CA",17.5,198000
OTHERS,"TECHNICAL PROGRAM MANAGER","Redwood City, CA",17.5,197500
OTHERS,"SOFTWARE ENGINEERING MANAGER","Tempe, AZ",14.5,197500
GOOGLE,"SOLUTION ARCHITECT","Toronto, ON, Canada",13,197500
MICROSOFT,"PRODUCT MANAGER","Washington, DC",15,197500
MICROSOFT,"SOFTWARE ENGINEERING MANAGER","St. Louis, MO",20,197000
OTHERS,"SOFTWARE ENGINEERING MANAGER","Berkeley, CA",25.5,197000
OTHERS,"HARDWARE ENGINEER","Bloomington, MN",15,197000
ORACLE,"SOFTWARE ENGINEERING MANAGER","Austin, TX",18.333333333333332,196666.66666666666
OTHERS,"SOFTWARE ENGINEERING MANAGER","Los Angeles, CA",14.318181818181818,196636.36363636365
AMAZON,"SOLUTION ARCHITECT","Minneapolis, MN",12.5,196000
OTHERS,"TECHNICAL PROGRAM MANAGER","Palo Alto, CA",12.5,196000
OTHERS,MARKETING,"Stamford, CT",19,196000
